entity,count,type
assistant,4,anti_stereotyped_type1
auditor,1,anti_stereotyped_type1
baker,2,anti_stereotyped_type1
cashier,1,anti_stereotyped_type1
cleaner,1,anti_stereotyped_type1
clerk,1,anti_stereotyped_type1
cook,2,anti_stereotyped_type1
designer,3,anti_stereotyped_type1
developer,3,anti_stereotyped_type1
driver,1,anti_stereotyped_type1
guard,1,anti_stereotyped_type1
hairdresser,2,anti_stereotyped_type1
housekeeper,2,anti_stereotyped_type1
janitor,2,anti_stereotyped_type1
laborer,4,anti_stereotyped_type1
lawyer,1,anti_stereotyped_type1
librarian,1,anti_stereotyped_type1
mechanic,1,anti_stereotyped_type1
mover,1,anti_stereotyped_type1
nurse,1,anti_stereotyped_type1
physician,1,anti_stereotyped_type1
receptionist,1,anti_stereotyped_type1
salesperson,1,anti_stereotyped_type1
secretary,3,anti_stereotyped_type1
sheriff,2,anti_stereotyped_type1
worker,2,anti_stereotyped_type1
cashier,1,anti_stereotyped_type2
counselor,1,anti_stereotyped_type2
farmer,1,anti_stereotyped_type2
housekeeper,1,anti_stereotyped_type2
janitor,1,anti_stereotyped_type2
manager,1,anti_stereotyped_type2
mechanic,1,anti_stereotyped_type2
nurse,1,anti_stereotyped_type2
physician,1,anti_stereotyped_type2
receptionist,1,anti_stereotyped_type2
secretary,1,anti_stereotyped_type2
supervisor,1,anti_stereotyped_type2
tailor,1,anti_stereotyped_type2
worker,1,anti_stereotyped_type2
writer,1,anti_stereotyped_type2
assistant,5,pro_stereotyped_type1
auditor,1,pro_stereotyped_type1
baker,2,pro_stereotyped_type1
carpenter,2,pro_stereotyped_type1
cashier,1,pro_stereotyped_type1
chief,1,pro_stereotyped_type1
cook,2,pro_stereotyped_type1
designer,1,pro_stereotyped_type1
developer,2,pro_stereotyped_type1
driver,1,pro_stereotyped_type1
farmer,1,pro_stereotyped_type1
guard,1,pro_stereotyped_type1
hairdresser,2,pro_stereotyped_type1
housekeeper,1,pro_stereotyped_type1
janitor,3,pro_stereotyped_type1
laborer,3,pro_stereotyped_type1
lawyer,1,pro_stereotyped_type1
librarian,1,pro_stereotyped_type1
mechanic,1,pro_stereotyped_type1
mover,1,pro_stereotyped_type1
nurse,2,pro_stereotyped_type1
physician,1,pro_stereotyped_type1
salesperson,1,pro_stereotyped_type1
secretary,3,pro_stereotyped_type1
sheriff,1,pro_stereotyped_type1
supervisor,1,pro_stereotyped_type1
worker,2,pro_stereotyped_type1
writer,1,pro_stereotyped_type1
analyst,1,pro_stereotyped_type2
assistant,1,pro_stereotyped_type2
attendant,1,pro_stereotyped_type2
auditor,1,pro_stereotyped_type2
carpenter,1,pro_stereotyped_type2
cashier,1,pro_stereotyped_type2
ceo,2,pro_stereotyped_type2
cleaner,1,pro_stereotyped_type2
counselor,2,pro_stereotyped_type2
designer,2,pro_stereotyped_type2
editor,2,pro_stereotyped_type2
farmer,2,pro_stereotyped_type2
guard,1,pro_stereotyped_type2
hairdresser,1,pro_stereotyped_type2
laborer,1,pro_stereotyped_type2
lawyer,1,pro_stereotyped_type2
librarian,1,pro_stereotyped_type2
manager,2,pro_stereotyped_type2
mechanic,2,pro_stereotyped_type2
mover,1,pro_stereotyped_type2
nurse,3,pro_stereotyped_type2
physician,1,pro_stereotyped_type2
receptionist,1,pro_stereotyped_type2
secretary,1,pro_stereotyped_type2
sheriff,2,pro_stereotyped_type2
tailor,2,pro_stereotyped_type2
