entity,count,type
laborer,11,anti_stereotyped_type1
ceo,11,anti_stereotyped_type2
clerk,11,anti_stereotyped_type2
laborer,11,pro_stereotyped_type1
librarian,10,anti_stereotyped_type2
ceo,10,pro_stereotyped_type2
laborer,10,pro_stereotyped_type2
worker,10,pro_stereotyped_type2
cashier,9,anti_stereotyped_type2
designer,9,anti_stereotyped_type2
developer,9,anti_stereotyped_type2
worker,9,anti_stereotyped_type2
ceo,9,pro_stereotyped_type1
clerk,9,pro_stereotyped_type2
developer,9,pro_stereotyped_type2
hairdresser,9,pro_stereotyped_type2
mechanic,8,anti_stereotyped_type1
laborer,8,anti_stereotyped_type2
manager,8,anti_stereotyped_type2
mechanic,8,anti_stereotyped_type2
salesperson,8,anti_stereotyped_type2
mover,8,pro_stereotyped_type1
baker,8,pro_stereotyped_type2
cleaner,8,pro_stereotyped_type2
chief,7,anti_stereotyped_type1
developer,7,anti_stereotyped_type1
salesperson,7,anti_stereotyped_type1
baker,7,anti_stereotyped_type2
carpenter,7,anti_stereotyped_type2
cleaner,7,anti_stereotyped_type2
hairdresser,7,anti_stereotyped_type2
mover,7,anti_stereotyped_type2
secretary,7,anti_stereotyped_type2
writer,7,anti_stereotyped_type2
analyst,7,pro_stereotyped_type1
chief,7,pro_stereotyped_type1
developer,7,pro_stereotyped_type1
physician,7,pro_stereotyped_type1
salesperson,7,pro_stereotyped_type1
mechanic,7,pro_stereotyped_type2
mover,7,pro_stereotyped_type2
nurse,7,pro_stereotyped_type2
salesperson,7,pro_stereotyped_type2
teacher,7,pro_stereotyped_type2
janitor,6,anti_stereotyped_type1
manager,6,anti_stereotyped_type1
worker,6,anti_stereotyped_type1
analyst,6,anti_stereotyped_type2
assistant,6,anti_stereotyped_type2
driver,6,anti_stereotyped_type2
farmer,6,anti_stereotyped_type2
nurse,6,anti_stereotyped_type2
tailor,6,anti_stereotyped_type2
manager,6,pro_stereotyped_type1
mechanic,6,pro_stereotyped_type1
carpenter,6,pro_stereotyped_type2
cashier,6,pro_stereotyped_type2
chief,6,pro_stereotyped_type2
editor,6,pro_stereotyped_type2
janitor,6,pro_stereotyped_type2
librarian,6,pro_stereotyped_type2
physician,6,pro_stereotyped_type2
writer,6,pro_stereotyped_type2
ceo,5,anti_stereotyped_type1
cook,5,anti_stereotyped_type1
farmer,5,anti_stereotyped_type1
mover,5,anti_stereotyped_type1
physician,5,anti_stereotyped_type1
accountant,5,anti_stereotyped_type2
chief,5,anti_stereotyped_type2
cook,5,anti_stereotyped_type2
counselor,5,anti_stereotyped_type2
guard,5,anti_stereotyped_type2
housekeeper,5,anti_stereotyped_type2
janitor,5,anti_stereotyped_type2
physician,5,anti_stereotyped_type2
supervisor,5,anti_stereotyped_type2
teacher,5,anti_stereotyped_type2
carpenter,5,pro_stereotyped_type1
cashier,5,pro_stereotyped_type1
driver,5,pro_stereotyped_type1
farmer,5,pro_stereotyped_type1
librarian,5,pro_stereotyped_type1
supervisor,5,pro_stereotyped_type1
worker,5,pro_stereotyped_type1
accountant,5,pro_stereotyped_type2
analyst,5,pro_stereotyped_type2
attendant,5,pro_stereotyped_type2
auditor,5,pro_stereotyped_type2
guard,5,pro_stereotyped_type2
housekeeper,5,pro_stereotyped_type2
lawyer,5,pro_stereotyped_type2
supervisor,5,pro_stereotyped_type2
assistant,4,anti_stereotyped_type1
carpenter,4,anti_stereotyped_type1
lawyer,4,anti_stereotyped_type1
librarian,4,anti_stereotyped_type1
secretary,4,anti_stereotyped_type1
attendant,4,anti_stereotyped_type2
auditor,4,anti_stereotyped_type2
sheriff,4,anti_stereotyped_type2
cleaner,4,pro_stereotyped_type1
clerk,4,pro_stereotyped_type1
cook,4,pro_stereotyped_type1
janitor,4,pro_stereotyped_type1
lawyer,4,pro_stereotyped_type1
assistant,4,pro_stereotyped_type2
cook,4,pro_stereotyped_type2
designer,4,pro_stereotyped_type2
driver,4,pro_stereotyped_type2
manager,4,pro_stereotyped_type2
sheriff,4,pro_stereotyped_type2
tailor,4,pro_stereotyped_type2
analyst,3,anti_stereotyped_type1
driver,3,anti_stereotyped_type1
guard,3,anti_stereotyped_type1
hairdresser,3,anti_stereotyped_type1
nurse,3,anti_stereotyped_type1
editor,3,anti_stereotyped_type2
lawyer,3,anti_stereotyped_type2
auditor,3,pro_stereotyped_type1
baker,3,pro_stereotyped_type1
designer,3,pro_stereotyped_type1
nurse,3,pro_stereotyped_type1
counselor,3,pro_stereotyped_type2
receptionist,3,pro_stereotyped_type2
secretary,3,pro_stereotyped_type2
auditor,2,anti_stereotyped_type1
cleaner,2,anti_stereotyped_type1
clerk,2,anti_stereotyped_type1
receptionist,2,anti_stereotyped_type1
sheriff,2,anti_stereotyped_type1
supervisor,2,anti_stereotyped_type1
receptionist,2,anti_stereotyped_type2
accountant,2,pro_stereotyped_type1
guard,2,pro_stereotyped_type1
hairdresser,2,pro_stereotyped_type1
receptionist,2,pro_stereotyped_type1
secretary,2,pro_stereotyped_type1
sheriff,2,pro_stereotyped_type1
tailor,2,pro_stereotyped_type1
farmer,2,pro_stereotyped_type2
accountant,1,anti_stereotyped_type1
cashier,1,anti_stereotyped_type1
editor,1,anti_stereotyped_type1
tailor,1,anti_stereotyped_type1
writer,1,anti_stereotyped_type1
assistant,1,pro_stereotyped_type1
attendant,1,pro_stereotyped_type1
counselor,1,pro_stereotyped_type1
editor,1,pro_stereotyped_type1
housekeeper,1,pro_stereotyped_type1
teacher,1,pro_stereotyped_type1
writer,1,pro_stereotyped_type1
libarian,1,pro_stereotyped_type2
