entity,count,type
accountant,3,anti_stereotyped_type1
analyst,3,anti_stereotyped_type1
assistant,2,anti_stereotyped_type1
attendant,2,anti_stereotyped_type1
auditor,2,anti_stereotyped_type1
baker,2,anti_stereotyped_type1
carpenter,4,anti_stereotyped_type1
cashier,6,anti_stereotyped_type1
ceo,4,anti_stereotyped_type1
chief,2,anti_stereotyped_type1
cleaner,3,anti_stereotyped_type1
clerk,3,anti_stereotyped_type1
cook,4,anti_stereotyped_type1
counselor,1,anti_stereotyped_type1
designer,3,anti_stereotyped_type1
developer,5,anti_stereotyped_type1
driver,2,anti_stereotyped_type1
editor,5,anti_stereotyped_type1
farmer,2,anti_stereotyped_type1
guard,5,anti_stereotyped_type1
hairdresser,6,anti_stereotyped_type1
housekeeper,5,anti_stereotyped_type1
houskeeper,1,anti_stereotyped_type1
janitor,4,anti_stereotyped_type1
laborer,8,anti_stereotyped_type1
lawyer,2,anti_stereotyped_type1
librarian,4,anti_stereotyped_type1
manager,5,anti_stereotyped_type1
mechanic,2,anti_stereotyped_type1
mover,6,anti_stereotyped_type1
nurse,4,anti_stereotyped_type1
physician,4,anti_stereotyped_type1
receptionist,5,anti_stereotyped_type1
salesperson,1,anti_stereotyped_type1
secretary,6,anti_stereotyped_type1
sheriff,3,anti_stereotyped_type1
supervisor,2,anti_stereotyped_type1
teacher,8,anti_stereotyped_type1
worker,4,anti_stereotyped_type1
writer,1,anti_stereotyped_type1
accountant,3,anti_stereotyped_type2
analyst,4,anti_stereotyped_type2
assistant,5,anti_stereotyped_type2
attendant,1,anti_stereotyped_type2
auditor,7,anti_stereotyped_type2
baker,4,anti_stereotyped_type2
carpenter,4,anti_stereotyped_type2
cashier,7,anti_stereotyped_type2
ceo,3,anti_stereotyped_type2
chief,3,anti_stereotyped_type2
cleaner,4,anti_stereotyped_type2
clerk,7,anti_stereotyped_type2
cook,2,anti_stereotyped_type2
counselor,2,anti_stereotyped_type2
designer,9,anti_stereotyped_type2
developer,7,anti_stereotyped_type2
driver,4,anti_stereotyped_type2
editor,3,anti_stereotyped_type2
farmer,6,anti_stereotyped_type2
guard,5,anti_stereotyped_type2
hairdresser,6,anti_stereotyped_type2
housekeeper,1,anti_stereotyped_type2
janitor,4,anti_stereotyped_type2
laborer,8,anti_stereotyped_type2
lawyer,2,anti_stereotyped_type2
librarian,3,anti_stereotyped_type2
manager,5,anti_stereotyped_type2
mechanic,5,anti_stereotyped_type2
mover,6,anti_stereotyped_type2
nurse,6,anti_stereotyped_type2
physician,7,anti_stereotyped_type2
receptionist,3,anti_stereotyped_type2
salesperson,3,anti_stereotyped_type2
secretary,6,anti_stereotyped_type2
sheriff,3,anti_stereotyped_type2
supervisor,4,anti_stereotyped_type2
tailor,3,anti_stereotyped_type2
teacher,2,anti_stereotyped_type2
worker,7,anti_stereotyped_type2
writer,6,anti_stereotyped_type2
accountant,3,pro_stereotyped_type1
analyst,2,pro_stereotyped_type1
assistant,4,pro_stereotyped_type1
auditor,4,pro_stereotyped_type1
baker,5,pro_stereotyped_type1
cake,1,pro_stereotyped_type1
carpenter,1,pro_stereotyped_type1
cashier,3,pro_stereotyped_type1
ceo,1,pro_stereotyped_type1
chief,1,pro_stereotyped_type1
cleaner,2,pro_stereotyped_type1
clerk,3,pro_stereotyped_type1
cook,3,pro_stereotyped_type1
customer,1,pro_stereotyped_type1
designer,4,pro_stereotyped_type1
developer,2,pro_stereotyped_type1
editor,1,pro_stereotyped_type1
farmer,2,pro_stereotyped_type1
friend,1,pro_stereotyped_type1
guard,1,pro_stereotyped_type1
hairdresser,1,pro_stereotyped_type1
housekeeper,2,pro_stereotyped_type1
janitor,5,pro_stereotyped_type1
laborer,3,pro_stereotyped_type1
librarian,5,pro_stereotyped_type1
manager,1,pro_stereotyped_type1
mechanic,2,pro_stereotyped_type1
mover,2,pro_stereotyped_type1
nurse,3,pro_stereotyped_type1
physician,1,pro_stereotyped_type1
receptionist,2,pro_stereotyped_type1
salesperson,1,pro_stereotyped_type1
secretary,4,pro_stereotyped_type1
supervisor,3,pro_stereotyped_type1
tailor,1,pro_stereotyped_type1
teacher,1,pro_stereotyped_type1
worker,2,pro_stereotyped_type1
writer,1,pro_stereotyped_type1
accountant,2,pro_stereotyped_type2
analyst,5,pro_stereotyped_type2
assistant,6,pro_stereotyped_type2
attendant,1,pro_stereotyped_type2
auditor,5,pro_stereotyped_type2
baker,6,pro_stereotyped_type2
cacher,1,pro_stereotyped_type2
carpenter,3,pro_stereotyped_type2
cashier,6,pro_stereotyped_type2
ceo,7,pro_stereotyped_type2
chief,4,pro_stereotyped_type2
cleaner,6,pro_stereotyped_type2
clerk,8,pro_stereotyped_type2
cook,6,pro_stereotyped_type2
